,fast_period,slow_period,sig_period,return,dd,sharpe
564,10,31,11,-24.37,13.46,-5.93
565,10,31,12,-18.08,11.20,-3.13
566,10,31,13,-18.08,11.20,-3.13
567,10,31,14,-18.08,11.20,-3.13
568,10,32,7,-33.63,18.67,-26.47
569,10,32,8,-30.02,16.47,-18.52
570,10,32,9,-30.02,16.47,-18.52
571,10,32,10,-22.23,13.50,-2.30
572,10,32,11,-20.31,12.43,-2.59
573,10,32,12,-18.08,11.20,-3.13
574,10,32,13,-18.08,11.20,-3.13
575,10,32,14,-18.08,11.20,-3.13
576,10,33,7,-33.63,18.67,-26.47
577,10,33,8,-30.02,16.47,-18.52
578,10,33,9,-25.77,13.94,-4.33
579,10,33,10,-22.23,13.50,-2.30
580,10,33,11,-20.31,12.43,-2.59
581,10,33,12,-18.08,11.20,-3.13
582,10,33,13,-18.08,11.20,-3.13
583,10,33,14,-18.08,11.20,-3.13
584,10,34,7,-31.46,17.34,-31.11
585,10,34,8,-25.77,13.94,-4.33
586,10,34,9,-25.77,13.94,-4.33
587,10,34,10,-22.23,13.50,-2.30
588,10,34,11,-20.31,12.43,-2.59
589,10,34,12,-20.31,12.43,-2.59
590,10,34,13,-16.52,11.17,-2.38
591,10,34,14,-20.18,11.28,-5.39
592,10,35,7,-24.38,13.14,-3.76
593,10,35,8,-27.97,15.24,-7.19
594,10,35,9,-25.77,13.94,-4.33
595,10,35,10,-22.23,13.50,-2.30
596,10,35,11,-20.31,12.43,-2.59
597,10,35,12,-18.94,12.48,-2.06
598,10,35,13,-21.35,12.50,-3.04
599,10,35,14,-20.89,12.59,-2.82
600,10,36,7,-24.38,13.14,-3.76
601,10,36,8,-27.97,15.24,-7.19
602,10,36,9,-22.07,13.49,-2.25
603,10,36,10,-23.12,13.48,-2.67
604,10,36,11,-20.71,13.44,-1.90
605,10,36,12,-21.35,12.50,-3.04
606,10,36,13,-19.66,12.38,-2.35
607,10,36,14,-20.51,12.38,-2.91
608,10,37,7,-24.38,13.14,-3.76
609,10,37,8,-24.89,13.43,-3.57
610,10,37,9,-22.86,13.46,-2.58
611,10,37,10,-20.71,13.44,-1.90
612,10,37,11,-23.09,13.48,-2.66
613,10,37,12,-21.35,12.50,-3.04
614,10,37,13,-15.65,12.61,-1.28
615,10,37,14,-15.25,12.40,-1.29
616,10,38,7,-24.38,13.14,-3.76
617,10,38,8,-24.89,13.43,-3.57
618,10,38,9,-22.86,13.46,-2.58
619,10,38,10,-20.71,13.44,-1.90
620,10,38,11,-23.09,13.48,-2.66
621,10,38,12,-16.35,13.53,-1.07
622,10,38,13,-15.55,13.59,-0.99
623,10,38,14,-17.97,13.40,-1.39
624,10,39,7,-24.38,13.14,-3.76
625,10,39,8,-24.89,13.43,-3.57
626,10,39,9,-22.69,13.45,-2.52
