,fast_base,slow_base,min_period_fast,max_period_fast,min_period_slow,max_period_slow,return,dd,sharpe
422,5,21,5,10,10,35,-29.86,25.11,-2.68
423,5,21,5,10,10,40,-13.51,25.15,-3.36
424,5,21,5,10,10,45,-32.13,25.12,-2.39
425,5,21,5,15,10,25,-6.42,17.57,-1.78
426,5,21,5,15,10,30,-15.21,16.87,-12.71
427,5,21,5,15,10,35,-15.56,18.72,-13.31
428,5,21,5,15,10,40,2.37,18.73,-0.07
429,5,21,5,15,10,45,-19.69,18.72,-4.04
430,5,21,5,20,10,25,4.28,13.90,0.05
431,5,21,5,20,10,30,-4.44,12.24,-2.52
432,5,21,5,20,10,35,-4.63,14.02,-2.44
433,5,21,5,20,10,40,9.90,14.03,0.53
434,5,21,5,20,10,45,-13.79,14.02,-1.39
435,5,21,5,25,10,25,24.55,12.50,1.59
436,5,21,5,25,10,30,14.12,10.85,3.82
437,5,21,5,25,10,35,13.86,12.59,3.97
438,5,21,5,25,10,40,16.61,12.62,2.46
439,5,21,5,25,10,45,-7.23,12.65,-0.61
440,5,21,5,10,15,25,-21.73,24.44,-3.83
441,5,21,5,10,15,30,-29.47,23.38,-2.61
442,5,21,5,10,15,35,-29.86,25.11,-2.68
443,5,21,5,10,15,40,-13.51,25.15,-3.36
444,5,21,5,10,15,45,-32.13,25.12,-2.39
445,5,21,5,15,15,25,-6.10,18.00,-1.63
446,5,21,5,15,15,30,-15.21,16.87,-12.71
447,5,21,5,15,15,35,-15.56,18.72,-13.31
448,5,21,5,15,15,40,2.37,18.73,-0.07
449,5,21,5,15,15,45,-19.69,18.72,-4.04
450,5,21,5,20,15,25,4.67,14.39,0.11
451,5,21,5,20,15,30,-4.44,12.24,-2.52
452,5,21,5,20,15,35,-4.63,14.02,-2.44
453,5,21,5,20,15,40,9.90,14.03,0.53
454,5,21,5,20,15,45,-13.79,14.02,-1.39
455,5,21,5,25,15,25,24.96,12.98,1.57
456,5,21,5,25,15,30,14.12,10.85,3.82
457,5,21,5,25,15,35,13.86,12.59,3.97
458,5,21,5,25,15,40,16.61,12.62,2.46
459,5,21,5,25,15,45,-7.23,12.65,-0.61
460,5,21,5,10,20,25,-21.73,24.44,-3.83
461,5,21,5,10,20,30,-29.47,23.38,-2.61
462,5,21,5,10,20,35,-29.86,25.11,-2.68
463,5,21,5,10,20,40,-13.51,25.15,-3.36
464,5,21,5,10,20,45,-32.13,25.12,-2.39
465,5,21,5,15,20,25,-6.10,18.00,-1.63
466,5,21,5,15,20,30,-15.21,16.87,-12.71
467,5,21,5,15,20,35,-15.56,18.72,-13.31
468,5,21,5,15,20,40,2.37,18.73,-0.07
469,5,21,5,15,20,45,-19.69,18.72,-4.04
470,5,21,5,20,20,25,4.67,14.39,0.11
471,5,21,5,20,20,30,-4.44,12.24,-2.52
472,5,21,5,20,20,35,-4.63,14.02,-2.44
473,5,21,5,20,20,40,9.90,14.03,0.53
474,5,21,5,20,20,45,-13.79,14.02,-1.39
475,5,21,5,25,20,25,24.96,12.98,1.57
476,5,21,5,25,20,30,14.12,10.85,3.82
477,5,21,5,25,20,35,13.86,12.59,3.97
478,5,21,5,25,20,40,16.61,12.62,2.46
479,5,21,5,25,20,45,-7.23,12.65,-0.61
480,5,28,2,10,10,25,-21.87,24.49,-4.10
481,5,28,2,10,10,30,-58.00,37.96,-4.17
482,5,28,2,10,10,35,-61.02,40.25,-6.20
483,5,28,2,10,10,40,-63.86,41.89,-8.36
484,5,28,2,10,10,45,-63.54,43.12,-23.70
485,5,28,2,15,10,25,-11.13,19.42,-0.74
486,5,28,2,15,10,30,-52.25,33.82,-8.14
487,5,28,2,15,10,35,-55.77,36.32,-23.43
488,5,28,2,15,10,40,-58.93,38.03,-151.46
489,5,28,2,15,10,45,-58.52,39.30,-12.08
490,5,28,2,20,10,25,-11.88,19.77,-0.75
