,pfast,pmid,pslow,return,dd,sharpe
507,5,13,28,-40.79,34.25,-0.86
508,5,13,29,-18.30,21.60,-0.56
509,5,13,30,-19.04,22.92,-0.57
510,5,13,31,-18.53,22.54,-0.56
511,5,13,32,-18.98,22.50,-0.56
512,5,13,33,-18.92,22.07,-0.56
513,5,13,34,-16.21,20.79,-0.73
514,5,13,35,-15.55,20.41,-0.72
515,5,13,36,-15.86,20.75,-0.72
516,5,13,37,-16.17,21.09,-0.73
517,5,13,38,-15.86,20.75,-0.72
518,5,13,39,-3.69,13.86,-0.49
519,5,13,40,-2.88,14.28,-0.27
520,5,14,21,-38.59,32.57,-0.86
521,5,14,22,-36.26,30.89,-0.85
522,5,14,23,-33.64,29.70,-0.79
523,5,14,24,-12.71,13.06,-1.12
524,5,14,25,-45.53,34.87,-0.81
525,5,14,26,-45.94,34.69,-0.85
526,5,14,27,-50.23,37.29,-0.89
527,5,14,28,-40.79,34.25,-0.86
528,5,14,29,-19.55,23.13,-0.57
529,5,14,30,-19.04,22.92,-0.57
530,5,14,31,-18.53,22.54,-0.56
531,5,14,32,-15.24,21.95,-0.52
532,5,14,33,-15.48,21.73,-0.52
533,5,14,34,-16.21,20.79,-0.73
534,5,14,35,-15.55,20.41,-0.72
535,5,14,36,-3.92,13.78,-0.50
536,5,14,37,-3.93,14.02,-0.50
537,5,14,38,-3.58,13.91,-0.49
538,5,14,39,-3.69,13.86,-0.49
539,5,14,40,-2.88,14.28,-0.27
540,5,15,21,-45.83,36.84,-0.88
541,5,15,22,-33.03,33.89,-0.84
542,5,15,23,-30.48,32.58,-0.77
543,5,15,24,-45.00,39.83,-0.81
544,5,15,25,-42.72,38.00,-0.80
545,5,15,26,-43.25,37.79,-0.84
546,5,15,27,-47.43,40.65,-0.88
547,5,15,28,-37.31,37.58,-0.85
548,5,15,29,-10.74,23.13,-0.48
549,5,15,30,22.25,21.65,0.39
550,5,15,31,23.56,21.54,0.41
551,5,15,32,21.70,21.95,0.38
552,5,15,33,32.19,14.78,0.79
553,5,15,34,30.23,14.32,0.77
554,5,15,35,27.51,13.65,0.73
555,5,15,36,26.87,13.78,0.71
556,5,15,37,2.22,12.62,-0.04
557,5,15,38,3.72,12.57,0.02
558,5,15,39,4.35,12.62,0.04
559,5,15,40,2.65,13.01,-0.02
560,5,16,21,-35.23,35.74,-0.85
561,5,16,22,-33.03,33.89,-0.84
562,5,16,23,-30.48,32.58,-0.77
563,5,16,24,-45.00,39.83,-0.81
564,5,16,25,-42.72,38.00,-0.80
565,5,16,26,-31.51,33.14,-0.80
566,5,16,27,-34.30,35.00,-0.84
567,5,16,28,-37.31,37.58,-0.85
568,5,16,29,20.67,21.90,0.36
569,5,16,30,22.25,21.65,0.39
570,5,16,31,23.56,21.54,0.41
571,5,16,32,34.22,14.56,0.84
572,5,16,33,32.19,14.78,0.79
573,5,16,34,30.23,14.32,0.77
574,5,16,35,6.51,12.62,0.12
575,5,16,36,2.79,12.50,-0.02
576,5,16,37,2.22,12.62,-0.04
577,5,16,38,3.72,12.57,0.02
578,5,16,39,-11.62,12.91,-0.67
579,5,16,40,-12.32,13.37,-0.68
580,5,17,21,-35.51,35.74,-0.86
581,5,17,22,-33.32,33.89,-0.86
582,5,17,23,-48.38,41.26,-0.90
583,5,17,24,-45.91,39.83,-0.85
584,5,17,25,-43.02,38.00,-0.82
585,5,17,26,-42.84,37.79,-0.82
586,5,17,27,-47.12,40.65,-0.87
587,5,17,28,-50.38,42.89,-0.90
588,5,17,29,20.67,21.90,0.36
589,5,17,30,33.34,14.17,0.84
590,5,17,31,34.64,13.90,0.89
591,5,17,32,34.22,14.56,0.84
592,5,17,33,8.72,13.66,0.19
593,5,17,34,8.28,13.28,0.18
594,5,17,35,6.51,12.62,0.12
595,5,17,36,-12.02,13.22,-0.71
596,5,17,37,-12.25,13.38,-0.71
597,5,17,38,-12.02,13.22,-0.71
598,5,17,39,-12.02,13.22,-0.71
599,5,17,40,-12.72,13.68,-0.71
600,5,18,21,25.69,9.25,1.01
601,5,18,22,-13.14,23.09,-0.72
602,5,18,23,-48.38,41.26,-0.90
603,5,18,24,-45.91,39.83,-0.85
604,5,18,25,-38.11,37.19,-0.80
605,5,18,26,-42.84,37.79,-0.82
606,5,18,27,-47.12,40.65,-0.87
607,5,18,28,-50.38,42.89,-0.90
608,5,18,29,30.67,14.52,0.77
609,5,18,30,33.34,14.17,0.84
610,5,18,31,34.64,13.90,0.89
611,5,18,32,8.60,13.30,0.19
612,5,18,33,8.72,13.66,0.19
613,5,18,34,-12.49,13.53,-0.71
614,5,18,35,-11.78,13.07,-0.70
615,5,18,36,-12.02,13.22,-0.71
616,5,18,37,-12.25,13.38,-0.71
617,5,18,38,-12.02,13.22,-0.71
618,5,18,39,-55.01,38.06,-2.06
619,5,18,40,-54.63,37.95,-2.01
620,5,19,21,13.84,10.13,1.02
621,5,19,22,18.87,11.96,1.06
622,5,19,23,-48.38,41.26,-0.90
623,5,19,24,-40.01,38.37,-0.83
624,5,19,25,-38.11,37.19,-0.80
625,5,19,26,-36.07,35.41,-0.79
626,5,19,27,-36.58,35.21,-0.83
627,5,19,28,-40.37,37.98,-0.88
628,5,19,29,30.67,14.52,0.77
629,5,19,30,33.34,14.17,0.84
630,5,19,31,9.32,12.67,0.22
631,5,19,32,8.60,13.30,0.19
632,5,19,33,-12.96,13.83,-0.72
633,5,19,34,-12.49,13.53,-0.71
634,5,19,35,-11.78,13.07,-0.70
635,5,19,36,-12.02,13.22,-0.71
